SI,Date,Plant Day Gen (KWh),Inverter Day Gen (KWh),Diff (Plant-Inverter) Day Gen (KWh),Total Gen (KWh),Controlled PR (%),Uncontrolled PR (%)
1,01/01/2022,1603.71,1199.66,404.05,818276.22,0,0
2,02/01/2022,982.24,1369.56,-387.31,819258.47,0,0
3,03/01/2022,2580.23,2625,-44.77,821838.7,0,0
4,04/01/2022,2236.74,2272,-35.26,824075.44,0,0
5,05/01/2022,2131.33,2144,-12.67,826206.77,0,0
6,06/01/2022,3098.53,3151,-52.47,829305.3,0,0
7,07/01/2022,2801.22,2848,-46.78,832106.52,0,0
8,08/01/2022,2108.45,2141,-32.55,834214.97,0,0
9,09/01/2022,423.5,429,-5.5,834638.47,0,0
10,10/01/2022,2993.57,3045,-51.43,837632.04,0,0
11,11/01/2022,3043.7,3098,-54.3,840675.74,0,0
12,12/01/2022,2570.14,2612,-41.86,843245.88,0,0
13,13/01/2022,408.66,415,-6.34,843654.54,0,0
14,14/01/2022,634.07,644,-9.93,844288.61,0,0
15,15/01/2022,486.48,494,-7.52,844775.09,0,0
16,16/01/2022,389.44,395,-5.56,845164.53,0,0
17,17/01/2022,2744.01,2789,-44.99,847908.54,0,0
18,18/01/2022,2720.13,2764,-43.87,850628.66,0,0
19,19/01/2022,3232.42,3285,-52.58,853861.09,0,0
20,20/01/2022,3175.16,3226,-50.84,857036.24,0,0
21,21/01/2022,3257.88,3315,-57.12,860294.12,0,0
22,22/01/2022,3317.32,3371,-53.68,863611.44,0,0
23,23/01/2022,418.13,427,-8.87,864029.57,0,0
24,24/01/2022,3254.38,3309,-54.62,867283.95,0,0
25,25/01/2022,2935.03,2985,-49.97,870218.98,0,0
26,26/01/2022,484.04,492,-7.96,870703.03,0,0
27,27/01/2022,1968.81,1999,-30.19,872671.84,0,0
28,28/01/2022,1814.09,1844,-29.91,874485.93,0,0
29,29/01/2022,2592.53,2633,-40.47,877078.46,0,0
30,30/01/2022,733.56,742,-8.44,877812.02,0,0
31,31/01/2022,2577.43,2626,-48.57,880389.45,0,0
32,01/02/2022,2725.04,2770,-44.96,883114.49,0,0
33,02/02/2022,3430.98,3492,-61.02,886545.48,0,0
34,03/02/2022,2776.11,2823,-46.89,889321.59,0,0
35,04/02/2022,2811.88,1856.24,955.64,892133.47,0,0
36,05/02/2022,4330.8,2867.79,1463.02,896464.27,0,0
37,06/02/2022,659.28,2819.02,-2159.74,897123.55,0,0
38,07/02/2022,2550.29,2993.95,-443.66,899673.84,0,0
39,08/02/2022,2295.35,2330,-34.65,901969.19,0,0
40,09/02/2022,3555.42,3616,-60.58,905524.61,0,0
41,10/02/2022,3647.71,3713,-65.29,909172.33,0,0
42,11/02/2022,3749,3814,-65,912921.32,0,0
43,12/02/2022,3462.72,3522,-59.28,916384.05,0,0
44,13/02/2022,644.86,655,-10.14,917028.91,0,0
45,14/02/2022,3212.15,3267,-54.85,920241.06,0,0
46,15/02/2022,2720.58,2770,-49.42,922961.64,0,0
47,16/02/2022,3022.64,3074,-51.36,925984.28,0,0
48,17/02/2022,3276.66,3330,-53.34,929260.93,0,0
49,18/02/2022,3211.61,3215.41,-3.79,932472.55,0,0
50,19/02/2022,651.45,2527.59,-1876.15,933124,0,0
